1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-26,-41,-40,-52,-54,-46,-53,-56,-59,-50,-74,-58,-53,-53,-52,-51,-63,-56,-61,-55,-56
-26,-41,-40,-53,-46,-46,-51,-46,-59,-50,-76,-60,-49,-55,-53,-52,-63,-55,-61,-56,-56
-30,-40,-40,-53,-45,-54,-52,-56,-59,-50,-75,-60,-50,-54,-53,-51,-61,-54,-70,-56,-56
-26,-40,-40,-53,-53,-54,-52,-45,-58,-50,-74,-58,-53,-54,-53,-52,-62,-53,-56,-65,-56
-26,-40,-40,-53,-53,-54,-52,-56,-60,-51,-74,-60,-54,-54,-52,-52,-62,-53,-71,-56,-64
-26,-40,-40,-53,-53,-59,-52,-56,-57,-52,-73,-59,-54,-52,-52,-51,-63,-53,-61,-55,-64
-27,-40,-40,-53,-54,-46,-58,-56,-59,-58,-74,-58,-52,-53,-52,-52,-75,-53,-60,-55,-65
-26,-41,-40,-52,-54,-46,-51,-46,-58,-52,-75,-59,-53,-53,-52,-51,-73,-55,-71,-56,-64
-27,-40,-41,-53,-54,-54,-52,-55,-59,-52,-74,-59,-53,-53,-52,-52,-61,-56,-60,-55,-62
-26,-40,-41,-53,-55,-54,-52,-45,-60,-52,-74,-60,-53,-54,-52,-52,-63,-56,-62,-63,-62
-27,-39,-41,-53,-55,-54,-51,-46,-59,-51,-74,-60,-53,-54,-54,-51,-63,-56,-70,-56,-64
-26,-40,-41,-53,-54,-53,-52,-56,-56,-52,-74,-58,-54,-53,-52,-51,-62,-77,-63,-54,-63
-33,-39,-40,-53,-60,-46,-52,-45,-56,-52,-75,-57,-53,-53,-52,-52,-63,-56,-62,-55,-63
-26,-40,-42,-52,-55,-46,-59,-46,-61,-51,-52,-58,-53,-53,-52,-52,-64,-56,-72,-54,-63
-27,-40,-41,-53,-55,-46,-52,-57,-54,-51,-51,-59,-52,-78,-52,-51,-73,-55,-56,-55,-62
-26,-39,-40,-54,-51,-46,-51,-45,-60,-51,-51,-59,-53,-54,-52,-52,-64,-55,-74,-55,-63
-26,-40,-40,-52,-50,-46,-52,-59,-55,-51,-52,-59,-53,-53,-52,-54,-62,-54,-62,-55,-55
-26,-39,-40,-57,-50,-46,-52,-79,-53,-51,-51,-59,-53,-53,-52,-52,-64,-54,-62,-55,-55
-26,-40,-40,-53,-54,-54,-52,-55,-53,-51,-51,-59,-53,-53,-52,-51,-63,-55,-73,-55,-55
-26,-39,-40,-53,-55,-54,-52,-46,-53,-51,-51,-60,-53,-53,-52,-51,-62,-55,-62,-55,-56
-27,-40,-41,-53,-55,-53,-51,-77,-53,-51,-57,-57,-53,-53,-52,-51,-63,-55,-62,-54,-56
-25,-40,-40,-52,-55,-59,-58,-74,-53,-51,-57,-58,-51,-52,-52,-52,-63,-55,-73,-54,-63
-24,-39,-40,-52,-55,-54,-49,-59,-58,-51,-58,-59,-51,-52,-52,-52,-63,-54,-62,-54,-62
-24,-40,-40,-53,-55,-53,-49,-46,-63,-51,-58,-58,-51,-51,-52,-51,-63,-55,-61,-55,-62
-31,-40,-40,-53,-55,-46,-52,-45,-53,-51,-58,-58,-51,-52,-52,-51,-75,-54,-61,-55,-62
-24,-39,-40,-52,-55,-46,-52,-45,-53,-52,-51,-60,-54,-51,-52,-51,-63,-49,-61,-55,-63
-26,-41,-41,-53,-54,-46,-51,-46,-53,-51,-50,-58,-53,-52,-54,-51,-63,-49,-62,-55,-63
-29,-40,-41,-53,-55,-46,-51,-45,-53,-52,-50,-60,-53,-52,-52,-52,-63,-55,-71,-55,-63
-24,-39,-40,-56,-54,-46,-51,-46,-53,-51,-50,-59,-53,-52,-52,-51,-63,-50,-56,-55,-64
-27,-39,-41,-52,-55,-46,-52,-46,-56,-50,-51,-61,-53,-52,-52,-52,-76,-50,-63,-55,-63
-27,-40,-40,-54,-55,-46,-52,-46,-61,-50,-52,-59,-53,-51,-52,-51,-63,-50,-71,-55,-63
-22,-39,-38,-49,-54,-46,-52,-56,-57,-50,-53,-61,-53,-52,-52,-51,-64,-50,-64,-55,-56
-22,-35,-40,-49,-54,-49,-52,-45,-56,-50,-52,-59,-53,-53,-52,-51,-63,-50,-72,-55,-56
-22,-36,-41,-49,-55,-46,-52,-45,-55,-50,-52,-59,-53,-51,-52,-52,-65,-50,-63,-55,-56
-22,-36,-40,-49,-55,-46,-52,-57,-58,-50,-51,-60,-53,-51,-52,-52,-64,-50,-62,-55,-56
-22,-36,-40,-49,-54,-46,-52,-45,-56,-50,-51,-58,-52,-51,-52,-52,-65,-50,-73,-55,-56
-22,-36,-40,-54,-55,-46,-52,-45,-58,-50,-52,-64,-51,-52,-52,-52,-64,-50,-73,-55,-64
-22,-41,-40,-49,-55,-46,-51,-46,-59,-50,-51,-60,-51,-52,-52,-52,-62,-55,-63,-55,-62
-22,-35,-40,-49,-55,-46,-52,-45,-59,-50,-52,-57,-54,-52,-52,-52,-63,-58,-73,-55,-79
-27,-36,-40,-49,-54,-46,-52,-45,-59,-52,-53,-60,-52,-51,-52,-51,-71,-55,-56,-55,-78
-26,-40,-39,-49,-55,-46,-52,-46,-59,-57,-52,-62,-50,-52,-52,-52,-63,-54,-73,-55,-64
-27,-35,-41,-49,-55,-46,-52,-45,-59,-57,-50,-58,-50,-51,-52,-52,-64,-55,-62,-55,-57
-26,-37,-39,-49,-55,-46,-51,-45,-59,-52,-51,-59,-50,-51,-52,-51,-59,-55,-72,-55,-56
-27,-36,-39,-49,-55,-49,-51,-45,-58,-52,-61,-59,-48,-53,-52,-52,-59,-55,-61,-55,-57
-27,-37,-40,-49,-55,-46,-52,-45,-53,-51,-49,-63,-52,-52,-52,-51,-59,-55,-61,-56,-56
-27,-36,-41,-49,-55,-46,-51,-45,-53,-51,-51,-58,-52,-51,-52,-52,-59,-55,-68,-55,-57
-25,-41,-39,-49,-55,-46,-58,-45,-56,-51,-52,-58,-52,-52,-52,-52,-59,-54,-61,-56,-64
-22,-40,-40,-49,-54,-46,-52,-44,-59,-53,-54,-58,-49,-52,-53,-52,-63,-54,-62,-55,-64
-22,-41,-40,-50,-54,-46,-52,-45,-57,-51,-49,-55,-53,-51,-52,-51,-59,-78,-71,-56,-57
-27,-39,-40,-50,-55,-46,-52,-45,-58,-52,-50,-59,-48,-53,-52,-52,-59,-53,-56,-55,-57
-26,-40,-40,-50,-55,-46,-51,-45,-57,-52,-61,-60,-48,-51,-52,-51,-59,-53,-72,-56,-57
-22,-39,-39,-50,-55,-54,-52,-45,-61,-51,-50,-58,-48,-51,-52,-52,-59,-53,-63,-55,-57
-22,-40,-40,-53,-55,-54,-52,-45,-59,-51,-50,-58,-48,-53,-53,-51,-62,-52,-72,-56,-56
-26,-40,-40,-53,-55,-54,-52,-44,-59,-50,-51,-68,-48,-54,-52,-52,-63,-54,-72,-55,-56
-27,-41,-40,-53,-55,-53,-51,-45,-58,-53,-52,-58,-52,-52,-52,-51,-58,-54,-73,-56,-56
-26,-39,-40,-53,-54,-54,-50,-45,-57,-51,-51,-58,-54,-54,-53,-51,-58,-55,-63,-54,-56
-27,-40,-40,-53,-55,-54,-50,-45,-59,-51,-51,-60,-51,-53,-53,-52,-58,-54,-62,-56,-57
-26,-40,-40,-53,-62,-53,-50,-45,-59,-52,-69,-57,-50,-53,-52,-51,-58,-53,-63,-65,-56
-26,-39,-40,-53,-55,-54,-50,-45,-60,-52,-49,-58,-54,-54,-52,-51,-58,-49,-61,-56,-56
-26,-41,-40,-53,-55,-46,-50,-45,-55,-50,-49,-57,-51,-53,-52,-51,-58,-49,-62,-56,-56
-26,-40,-39,-52,-55,-46,-50,-45,-55,-51,-48,-59,-50,-53,-53,-51,-58,-49,-71,-56,-56
-26,-40,-40,-58,-61,-46,-50,-45,-55,-52,-48,-62,-51,-53,-53,-52,-63,-49,-62,-55,-56
-27,-40,-40,-54,-54,-54,-50,-45,-55,-51,-49,-74,-52,-53,-52,-51,-63,-49,-60,-55,-56
-26,-41,-40,-53,-61,-48,-50,-76,-55,-51,-49,-59,-52,-52,-53,-52,-63,-53,-61,-55,-56
-32,-40,-40,-49,-55,-46,-50,-45,-59,-51,-64,-57,-52,-52,-53,-52,-64,-54,-61,-55,-56
-27,-39,-41,-49,-55,-46,-52,-45,-56,-51,-50,-57,-54,-52,-53,-51,-64,-54,-62,-56,-56
